loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.7232,4.335036277770996,1.9583333333333333e-05,0.06578947368421052,20,,,,,,,,,,,,,
0.6496,3.118849515914917,1.9144736842105264e-05,0.13157894736842105,40,,,,,,,,,,,,,
,,,0.16447368421052633,50,0.4957379400730133,0.7791666666666667,0.7398568019093079,0.8611111111111112,0.7958921694480102,1.2101,1784.95,28.096,,,,,
0.5343,3.1656694412231445,1.8706140350877194e-05,0.19736842105263158,60,,,,,,,,,,,,,
0.4104,4.103736877441406,1.8267543859649125e-05,0.2631578947368421,80,,,,,,,,,,,,,
0.3659,3.9681758880615234,1.7828947368421056e-05,0.32894736842105265,100,,,,,,,,,,,,,
,,,0.32894736842105265,100,0.32792356610298157,0.862037037037037,0.860036832412523,0.8648148148148148,0.8624192059095106,1.2099,1785.247,28.101,,,,,
0.3348,5.107504844665527,1.7390350877192984e-05,0.39473684210526316,120,,,,,,,,,,,,,
0.3316,3.843076467514038,1.6951754385964915e-05,0.4605263157894737,140,,,,,,,,,,,,,
,,,0.4934210526315789,150,0.345979243516922,0.8486111111111111,0.7943706020328382,0.9407407407407408,0.8613819415006359,1.2117,1782.692,28.061,,,,,
0.3315,2.60188627243042,1.6513157894736845e-05,0.5263157894736842,160,,,,,,,,,,,,,
0.3439,2.357819080352783,1.6074561403508773e-05,0.5921052631578947,180,,,,,,,,,,,,,
0.3305,2.75217866897583,1.5635964912280704e-05,0.6578947368421053,200,,,,,,,,,,,,,
,,,0.6578947368421053,200,0.2932206392288208,0.874537037037037,0.841927303465765,0.9222222222222223,0.8802474591250552,1.2089,1786.693,28.124,,,,,
0.3,4.100749492645264,1.5197368421052631e-05,0.7236842105263158,220,,,,,,,,,,,,,
0.288,8.44029426574707,1.4758771929824562e-05,0.7894736842105263,240,,,,,,,,,,,,,
,,,0.8223684210526315,250,0.2671140432357788,0.8962962962962963,0.9099616858237548,0.8796296296296297,0.8945386064030132,1.2195,1771.186,27.88,,,,,
0.2952,2.564429998397827,1.4320175438596493e-05,0.8552631578947368,260,,,,,,,,,,,,,
0.2958,3.7683286666870117,1.3881578947368422e-05,0.9210526315789473,280,,,,,,,,,,,,,
0.3003,3.194298028945923,1.3442982456140351e-05,0.9868421052631579,300,,,,,,,,,,,,,
,,,0.9868421052631579,300,0.2572866380214691,0.8870370370370371,0.8634782608695653,0.9194444444444444,0.8905829596412556,1.2107,1784.097,28.083,,,,,
0.2875,4.194858551025391,1.3004385964912282e-05,1.0526315789473684,320,,,,,,,,,,,,,
0.2648,2.9846363067626953,1.2565789473684211e-05,1.118421052631579,340,,,,,,,,,,,,,
,,,1.1513157894736843,350,0.25285813212394714,0.8972222222222223,0.8809946714031972,0.9185185185185185,0.899365367180417,1.2093,1786.087,28.114,,,,,
0.2738,3.066150426864624,1.2127192982456142e-05,1.1842105263157894,360,,,,,,,,,,,,,
0.2454,3.8930022716522217,1.168859649122807e-05,1.25,380,,,,,,,,,,,,,
0.2484,3.475388526916504,1.125e-05,1.3157894736842106,400,,,,,,,,,,,,,
,,,1.3157894736842106,400,0.25694212317466736,0.8921296296296296,0.8685813751087903,0.924074074074074,0.895468820098699,1.2102,1784.87,28.095,,,,,
0.2421,3.743811845779419,1.0811403508771932e-05,1.381578947368421,420,,,,,,,,,,,,,
