step,train_loss,forward_duration,backward_duration,total_duration,before_gpu_mem,forward_gpu_mem,backward_gpu_mem,peak_gpu_mem,eval_loss,eval_duration
1,11.029648780822754,0.13011269457638264,0.36986783519387245,0.4999805297702551,651150336,18635337728,6631752192,29023891968,10.681934606833536,0.18265971723088964
2,10.697944641113281,0.0275656646117568,0.2823776388540864,0.3099433034658432,1280327680,17995541504,6631752192,28384095744,,
3,10.434755325317383,0.022828470915555954,0.26434297021478415,0.2871714411303401,1280327680,17996393472,6631916032,28384947712,,
4,10.206624031066895,0.021294614300131798,0.26424270030111074,0.28553731460124254,1280491520,17996753920,6631916032,28385144320,,
5,10.098078727722168,0.02418345771729946,0.26419519912451506,0.2883786568418145,1280491520,17994853376,6631916032,28383243776,,
6,9.985760688781738,0.02149125561118126,0.2640023874118924,0.2854936430230737,1280491520,17995574272,6631916032,28383964672,,
7,9.876494407653809,0.02302837185561657,0.2647709622979164,0.287799334153533,1280491520,17994853376,6632112640,28383243776,,
8,9.803091049194336,0.021339464001357555,0.263930419459939,0.28526988346129656,1280688128,17994853376,6632636928,28383047168,,
9,9.707527160644531,0.021272584795951843,0.2641674289479852,0.285440013743937,1281212416,17995377664,6631916032,28383047168,,
10,9.653679847717285,0.02315590251237154,0.26432326063513756,0.2874791631475091,1280491520,17994656768,6632636928,28383047168,9.548298679414343,0.18589222217436696
11,9.59415340423584,0.02867551613599062,0.29613766446709633,0.32481318060308695,1281212416,17995377664,6632636928,28383047168,,
12,9.517777442932129,0.02120483946055174,0.26999501045793295,0.2911998499184847,1281212416,17995377664,6632473088,28383047168,,
13,9.45211124420166,0.04720806051045656,0.26396883092820644,0.311176891438663,1281048576,17995377664,6631752192,28383211008,,
14,9.386871337890625,0.02115296758711338,0.26405857037752867,0.28521153796464205,1280327680,17994492928,6632702464,28383047168,,
15,9.341041564941406,0.022183912806212902,0.26493360567837954,0.28711751848459244,1281277952,17995574272,6631916032,28383178240,,
16,9.284533500671387,0.0221506142988801,0.26426480151712894,0.28641541581600904,1280491520,17995443200,6631916032,28383833600,,
17,9.22861385345459,0.021135468035936356,0.2642620922997594,0.28539756033569574,1280491520,17994656768,6632636928,28383047168,,
18,9.164897918701172,0.021296377293765545,0.26475876569747925,0.2860551429912448,1281212416,17995377664,6631916032,28383047168,,
19,9.101448059082031,0.031402330845594406,0.2656505899503827,0.2970529207959771,1280491520,17995377664,6631916032,28383768064,,
20,9.064809799194336,0.02175663225352764,0.26394944079220295,0.2857060730457306,1280491520,17994656768,6631916032,28383047168,8.98548065248083,0.18361198996789144
21,9.031485557556152,0.031231519766151905,0.298048535361886,0.32928005512803793,1280491520,17994656768,6631916032,28383047168,,
22,8.949848175048828,0.021521899849176407,0.2640408705919981,0.2855627704411745,1280491520,17995443200,6632112640,28383833600,,
23,8.927948951721191,0.021238339133560658,0.26487458404153585,0.2861129231750965,1280688128,17994853376,6631916032,28383047168,,
24,8.867512702941895,0.021358800120651722,0.26394636929035187,0.2853051694110036,1280491520,17995344896,6631916032,28383735296,,
