step,train_loss,forward_duration,backward_duration,total_duration,before_gpu_mem,forward_gpu_mem,backward_gpu_mem,peak_gpu_mem,eval_loss,eval_duration
1,11.0625,0.09200823307037354,0.07802778668701649,0.17003601975739002,333776896,19915215872,7159835136,32775762944,10.6725,0.05961891282349825
2,10.6875,0.004102038219571114,0.014461098238825798,0.01856313645839691,650266624,19975177216,7159769600,32834806784,,
3,10.4375,0.00409458763897419,0.009193084202706814,0.013287671841681004,650201088,19975111680,7160875520,32834806784,,
4,10.1875,0.004059967584908009,0.009245113469660282,0.01330508105456829,651307008,19976217600,7160875520,32834806784,,
5,10.0625,0.004818740300834179,0.010510172694921494,0.015328912995755672,651307008,19976217600,7160875520,32834806784,,
6,10.0,0.00399545393884182,0.00904623419046402,0.01304168812930584,651307008,19976217600,7160875520,32834806784,,
7,9.875,0.003998883999884129,0.009057775139808655,0.013056659139692783,651307008,19976217600,7160875520,32834806784,,
8,9.8125,0.004009573720395565,0.009142623282968998,0.013152197003364563,651307008,19976217600,7160875520,32834806784,,
9,9.75,0.004035555757582188,0.00906115397810936,0.013096709735691547,651307008,19976217600,7160875520,32834806784,,
10,9.6875,0.0040354542434215546,0.009094735607504845,0.0131301898509264,651307008,19976217600,7160875520,32834806784,9.6125,0.059730428643524645
11,9.625,0.004051893949508667,0.009477656334638596,0.013529550284147263,651307008,19976217600,7160875520,32834806784,,
12,9.625,0.003991154953837395,0.009091494604945183,0.013082649558782578,651307008,19976217600,7160875520,32834806784,,
13,9.5625,0.0040048351511359215,0.009062494151294231,0.013067329302430153,651307008,19976217600,7160875520,32834806784,,
14,9.5,0.0040225740522146225,0.009135385043919086,0.013157959096133709,651307008,19976217600,7160875520,32834806784,,
15,9.4375,0.024669027887284756,0.02991766855120659,0.054586696438491344,651307008,19976217600,7160875520,32834806784,,
16,9.375,0.004082974046468735,0.053966714069247246,0.05804968811571598,651307008,19976217600,7160875520,32834806784,,
17,9.375,0.011009486392140388,0.009105383418500423,0.020114869810640812,651307008,19976217600,7160875520,32834806784,,
18,9.3125,0.004041804000735283,0.009067093953490257,0.01310889795422554,651307008,19976217600,7160875520,32834806784,,
19,9.25,0.004030173644423485,0.009063804522156715,0.0130939781665802,651307008,19976217600,7160875520,32834806784,,
20,9.1875,0.004019713960587978,0.009046753868460655,0.013066467829048634,651307008,19976217600,7160875520,32834806784,9.13,0.06670440446585417
21,9.1875,0.008006958290934563,0.042379953898489475,0.05038691218942404,651307008,19976217600,7160875520,32834806784,,
22,9.125,0.004026774317026138,0.009082543663680553,0.013109317980706692,651307008,19976217600,7160875520,32834806784,,
23,9.0625,0.004028853960335255,0.009052405133843422,0.013081259094178677,651307008,19976217600,7160875520,32834806784,,
24,9.0,0.004431426525115967,0.012459264136850834,0.0168906906619668,651307008,19976217600,7160875520,32834806784,,
25,9.0,0.004004783928394318,0.009123343974351883,0.0131281279027462,651307008,19976217600,7160875520,32834806784,,
26,8.9375,0.010423833504319191,0.012550074607133865,0.022973908111453056,651307008,19976217600,7160875520,32834806784,,
27,8.9375,0.0044033462181687355,0.00908222422003746,0.013485570438206196,651307008,19976217600,7160875520,32834806784,,
28,8.875,0.00401606410741806,0.009042385034263134,0.013058449141681194,651307008,19976217600,7160875520,32834806784,,
29,8.8125,0.004016713239252567,0.009127034805715084,0.013143748044967651,651307008,19976217600,7160875520,32834806784,,
30,8.8125,0.004041804000735283,0.009133383631706238,0.01317518763244152,651307008,19976217600,7160875520,32834806784,8.725,0.05964617855846882
31,8.75,0.004089243710041046,0.009494337253272533,0.01358358096331358,651307008,19976217600,7160875520,32834806784,,
32,8.6875,0.004055065102875233,0.009202765300869942,0.013257830403745174,651307008,19976217600,7160875520,32834806784,,
33,8.6875,0.004045373760163784,0.009577437303960323,0.013622811064124107,651307008,19976217600,7160875520,32834806784,,
34,8.625,0.0041265543550252914,0.00913055520504713,0.013257109560072422,651307008,19976217600,7160875520,32834806784,,
35,8.625,0.004069365561008453,0.009157574735581875,0.013226940296590328,651307008,19976217600,7160875520,32834806784,,
36,8.5625,0.004011503420770168,0.012589855119585991,0.01660135854035616,651307008,19976217600,7160875520,32834806784,,
37,8.5625,0.0039974842220544815,0.009047474712133408,0.013044958934187889,651307008,19976217600,7160875520,32834806784,,
38,8.5,0.0040273237973451614,0.04759703576564789,0.05162435956299305,651307008,19976217600,7160875520,32834806784,,
39,8.5,0.011147347278892994,0.009105484001338482,0.020252831280231476,651307008,19976217600,7160875520,32834806784,,
40,8.4375,0.014846240170300007,0.06172980088740587,0.07657604105770588,651307008,19976217600,7160875520,32834806784,8.3875,0.06025555580854416
41,8.375,0.005293901078402996,0.010032430291175842,0.015326331369578838,651307008,19976217600,7160875520,32834806784,,
42,8.375,0.004007164388895035,0.009104093536734581,0.013111257925629616,651307008,19976217600,7160875520,32834806784,,
43,8.375,0.00401037372648716,0.009099944494664669,0.013110318221151829,651307008,19976217600,7160875520,32834806784,,
44,8.3125,0.004031004384160042,0.009008553810417652,0.013039558194577694,651307008,19976217600,7160875520,32834806784,,
45,8.3125,0.004008893854916096,0.05138997733592987,0.055398871190845966,651307008,19976217600,7160875520,32834806784,,
46,8.3125,0.010563794523477554,0.009059074334800243,0.019622868858277798,651307008,19976217600,7160875520,32834806784,,
47,8.25,0.004037833772599697,0.009028923697769642,0.013066757470369339,651307008,19976217600,7160875520,32834806784,,
48,8.1875,0.014857039786875248,0.009146374650299549,0.024003414437174797,651307008,19976217600,7160875520,32834806784,,
49,8.25,0.004007203504443169,0.009128864854574203,0.013136068359017372,651307008,19976217600,7160875520,32834806784,,
50,8.1875,0.004019773565232754,0.009027964435517788,0.013047738000750542,651307008,19976217600,7160875520,32834806784,8.11875,0.06074571993201971
51,8.125,0.008992564864456654,0.06270695570856333,0.07169952057301998,651307008,19976217600,7160875520,32834806784,,
52,8.125,0.004117404110729694,0.009120183996856213,0.013237588107585907,651307008,19976217600,7160875520,32834806784,,
53,8.125,0.004036404192447662,0.009057263843715191,0.013093668036162853,651307008,19976217600,7160875520,32834806784,,
54,8.0625,0.004031123593449593,0.008988944813609123,0.013020068407058716,651307008,19976217600,7160875520,32834806784,,
55,8.0625,0.004112784750759602,0.009189126081764698,0.0133019108325243,651307008,19976217600,7160875520,32834806784,,
56,8.0625,0.004083175212144852,0.009152554906904697,0.013235730119049549,651307008,19976217600,7160875520,32834806784,,
57,8.0,0.003998633474111557,0.009077133610844612,0.013075767084956169,651307008,19976217600,7160875520,32834806784,,
58,8.0,0.004048624075949192,0.009028224274516106,0.013076848350465298,651307008,19976217600,7160875520,32834806784,,
59,8.0,0.003998834639787674,0.009020143188536167,0.013018977828323841,651307008,19976217600,7160875520,32834806784,,
60,7.9375,0.004035754129290581,0.009023673832416534,0.013059427961707115,651307008,19976217600,7160875520,32834806784,7.9225,0.05974513411521912
61,7.96875,0.006958031095564365,0.010154375806450844,0.01711240690201521,651307008,19976217600,7160875520,32834806784,,
62,7.9375,0.0040204403921961784,0.009117158129811287,0.013137598522007465,651307008,19976217600,7160875520,32834806784,,
63,7.90625,0.004055040888488293,0.009093687869608402,0.013148728758096695,651307008,19976217600,7160875520,32834806784,,
64,7.90625,0.004053059965372086,0.009116248227655888,0.013169308193027973,651307008,19976217600,7160875520,32834806784,,
65,7.90625,0.0040364498272538185,0.009039157070219517,0.013075606897473335,651307008,19976217600,7160875520,32834806784,,
66,7.875,0.0040297601372003555,0.009058007039129734,0.01308776717633009,651307008,19976217600,7160875520,32834806784,,
67,7.84375,0.007061891257762909,0.009183249436318874,0.016245140694081783,651307008,19976217600,7160875520,32834806784,,
68,7.84375,0.004059300757944584,0.009050986729562283,0.013110287487506866,651307008,19976217600,7160875520,32834806784,,
69,7.8125,0.004003899171948433,0.00906507857143879,0.013068977743387222,651307008,19976217600,7160875520,32834806784,,
70,7.78125,0.004025659523904324,0.009041576646268368,0.013067236170172691,651307008,19976217600,7160875520,32834806784,7.785,0.059203213043510915
71,7.84375,0.004067240282893181,0.009397109970450401,0.013464350253343582,651307008,19976217600,7160875520,32834806784,,
72,7.75,0.004004599526524544,0.009207638911902905,0.013212238438427448,651307008,19976217600,7160875520,32834806784,,
73,7.78125,0.014317557215690613,0.023657256737351418,0.03797481395304203,651307008,19976217600,7160875520,32834806784,,
74,7.78125,0.004047139547765255,0.00908665731549263,0.013133796863257885,651307008,19976217600,7160875520,32834806784,,
75,7.78125,0.004028379917144775,0.009043997153639793,0.013072377070784569,651307008,19976217600,7160875520,32834806784,,
76,7.75,0.004049570299685001,0.009110487066209316,0.013160057365894318,651307008,19976217600,7160875520,32834806784,,
77,7.71875,0.012167850509285927,0.009102888405323029,0.021270738914608955,651307008,19976217600,7160875520,32834806784,,
78,7.71875,0.004035359248518944,0.010249186307191849,0.014284545555710793,651307008,19976217600,7160875520,32834806784,,
